edge_1based,i_1based,j_1based,channel_i,channel_j
1,1,2,Fp1,AF7
2,1,3,Fp1,AF3
3,1,6,Fp1,F5
4,1,33,Fp1,Fpz
5,1,34,Fp1,Fp2
6,1,37,Fp1,AFz
7,2,3,AF7,AF3
8,2,5,AF7,F3
9,2,6,AF7,F5
10,2,7,AF7,F7
11,2,8,AF7,FT7
12,3,4,AF3,F1
13,3,5,AF3,F3
14,3,6,AF3,F5
15,3,7,AF3,F7
16,3,33,AF3,Fpz
17,3,37,AF3,AFz
18,4,5,F1,F3
19,4,10,F1,FC3
20,4,11,F1,FC1
21,4,37,F1,AFz
22,4,38,F1,Fz
23,4,47,F1,FCz
24,5,6,F3,F5
25,5,7,F3,F7
26,5,9,F3,FC5
27,5,10,F3,FC3
28,5,11,F3,FC1
29,6,7,F5,F7
30,6,8,F5,FT7
31,6,9,F5,FC5
32,6,10,F5,FC3
33,7,8,F7,FT7
34,7,9,F7,FC5
35,8,9,FT7,FC5
36,8,14,FT7,C5
37,8,15,FT7,T7
38,8,16,FT7,TP7
39,9,10,FC5,FC3
40,9,14,FC5,C5
41,9,15,FC5,T7
42,10,11,FC3,FC1
43,10,12,FC3,C1
44,10,13,FC3,C3
45,11,12,FC1,C1
46,11,13,FC1,C3
47,11,38,FC1,Fz
48,11,47,FC1,FCz
49,12,13,C1,C3
50,12,18,C1,CP3
51,12,19,C1,CP1
52,12,48,C1,Cz
53,13,14,C3,C5
54,13,18,C3,CP3
55,13,19,C3,CP1
56,14,15,C5,T7
57,14,16,C5,TP7
58,14,17,C5,CP5
59,15,16,T7,TP7
60,15,17,T7,CP5
61,15,23,T7,P7
62,15,24,T7,P9
63,16,17,TP7,CP5
64,16,22,TP7,P5
65,16,23,TP7,P7
66,16,24,TP7,P9
67,17,18,CP5,CP3
68,17,21,CP5,P3
69,17,22,CP5,P5
70,17,23,CP5,P7
71,18,19,CP3,CP1
72,18,20,CP3,P1
73,18,21,CP3,P3
74,18,22,CP3,P5
75,19,20,CP1,P1
76,19,21,CP1,P3
77,19,31,CP1,Pz
78,19,32,CP1,CPz
79,20,21,P1,P3
80,20,26,P1,PO3
81,20,30,P1,POz
82,20,31,P1,Pz
83,20,32,P1,CPz
84,21,22,P3,P5
85,21,25,P3,PO7
86,21,26,P3,PO3
87,22,23,P5,P7
88,22,24,P5,P9
89,22,25,P5,PO7
90,22,26,P5,PO3
91,22,27,P5,O1
92,23,24,P7,P9
93,23,25,P7,PO7
94,23,26,P7,PO3
95,24,25,P9,PO7
96,24,27,P9,O1
97,25,26,PO7,PO3
98,25,27,PO7,O1
99,25,28,PO7,Iz
100,26,27,PO3,O1
101,26,29,PO3,Oz
102,26,30,PO3,POz
103,27,28,O1,Iz
104,27,29,O1,Oz
105,27,30,O1,POz
106,28,29,Iz,Oz
107,28,30,Iz,POz
108,28,62,Iz,PO8
109,28,64,Iz,O2
110,29,30,Oz,POz
111,29,63,Oz,PO4
112,29,64,Oz,O2
113,30,31,POz,Pz
114,30,57,POz,P2
115,30,63,POz,PO4
116,30,64,POz,O2
117,31,32,Pz,CPz
118,31,56,Pz,CP2
119,31,57,Pz,P2
120,32,48,CPz,Cz
121,32,56,CPz,CP2
122,32,57,CPz,P2
123,33,34,Fpz,Fp2
124,33,35,Fpz,AF8
125,33,36,Fpz,AF4
126,33,37,Fpz,AFz
127,34,35,Fp2,AF8
128,34,36,Fp2,AF4
129,34,37,Fp2,AFz
130,34,41,Fp2,F6
131,35,36,AF8,AF4
132,35,40,AF8,F4
133,35,41,AF8,F6
134,35,42,AF8,F8
135,35,43,AF8,FT8
136,36,37,AF4,AFz
137,36,39,AF4,F2
138,36,40,AF4,F4
139,36,41,AF4,F6
140,36,42,AF4,F8
141,37,38,AFz,Fz
142,37,39,AFz,F2
143,38,39,Fz,F2
144,38,46,Fz,FC2
145,38,47,Fz,FCz
146,39,40,F2,F4
147,39,45,F2,FC4
148,39,46,F2,FC2
149,39,47,F2,FCz
150,40,41,F4,F6
151,40,42,F4,F8
152,40,44,F4,FC6
153,40,45,F4,FC4
154,40,46,F4,FC2
155,41,42,F6,F8
156,41,43,F6,FT8
157,41,44,F6,FC6
158,41,45,F6,FC4
159,42,43,F8,FT8
160,42,44,F8,FC6
161,42,52,F8,T8
162,43,44,FT8,FC6
163,43,51,FT8,C6
164,43,52,FT8,T8
165,43,53,FT8,TP8
166,44,45,FC6,FC4
167,44,51,FC6,C6
168,44,52,FC6,T8
169,45,46,FC4,FC2
170,45,49,FC4,C2
171,45,50,FC4,C4
172,46,47,FC2,FCz
173,46,48,FC2,Cz
174,46,49,FC2,C2
175,46,50,FC2,C4
176,47,48,FCz,Cz
177,48,49,Cz,C2
178,48,56,Cz,CP2
179,49,50,C2,C4
180,49,55,C2,CP4
181,49,56,C2,CP2
182,50,51,C4,C6
183,50,55,C4,CP4
184,50,56,C4,CP2
185,51,52,C6,T8
186,51,53,C6,TP8
187,51,54,C6,CP6
188,52,53,T8,TP8
189,52,54,T8,CP6
190,52,61,T8,P10
191,53,54,TP8,CP6
192,53,59,TP8,P6
193,53,60,TP8,P8
194,53,61,TP8,P10
195,54,55,CP6,CP4
196,54,58,CP6,P4
197,54,59,CP6,P6
198,54,60,CP6,P8
199,55,56,CP4,CP2
200,55,57,CP4,P2
201,55,58,CP4,P4
202,55,59,CP4,P6
203,56,57,CP2,P2
204,56,58,CP2,P4
205,57,58,P2,P4
206,57,63,P2,PO4
207,58,59,P4,P6
208,58,62,P4,PO8
209,58,63,P4,PO4
210,59,60,P6,P8
211,59,61,P6,P10
212,59,62,P6,PO8
213,59,63,P6,PO4
214,59,64,P6,O2
215,60,61,P8,P10
