triangle_1based,i_1based,j_1based,k_1based,channel_i,channel_j,channel_k
1,1,2,3,Fp1,AF7,AF3
2,1,2,6,Fp1,AF7,F5
3,1,3,6,Fp1,AF3,F5
4,1,3,33,Fp1,AF3,Fpz
5,1,3,37,Fp1,AF3,AFz
6,1,33,34,Fp1,Fpz,Fp2
7,1,33,37,Fp1,Fpz,AFz
8,1,34,37,Fp1,Fp2,AFz
9,2,3,5,AF7,AF3,F3
10,2,3,6,AF7,AF3,F5
11,2,3,7,AF7,AF3,F7
12,2,5,6,AF7,F3,F5
13,2,5,7,AF7,F3,F7
14,2,6,7,AF7,F5,F7
15,2,6,8,AF7,F5,FT7
16,2,7,8,AF7,F7,FT7
17,3,4,5,AF3,F1,F3
18,3,4,37,AF3,F1,AFz
19,3,5,6,AF3,F3,F5
20,3,5,7,AF3,F3,F7
21,3,6,7,AF3,F5,F7
22,3,33,37,AF3,Fpz,AFz
23,4,5,10,F1,F3,FC3
24,4,5,11,F1,F3,FC1
25,4,10,11,F1,FC3,FC1
26,4,11,38,F1,FC1,Fz
27,4,11,47,F1,FC1,FCz
28,4,37,38,F1,AFz,Fz
29,4,38,47,F1,Fz,FCz
30,5,6,7,F3,F5,F7
31,5,6,9,F3,F5,FC5
32,5,6,10,F3,F5,FC3
33,5,7,9,F3,F7,FC5
34,5,9,10,F3,FC5,FC3
35,5,10,11,F3,FC3,FC1
36,6,7,8,F5,F7,FT7
37,6,7,9,F5,F7,FC5
38,6,8,9,F5,FT7,FC5
39,6,9,10,F5,FC5,FC3
40,7,8,9,F7,FT7,FC5
41,8,9,14,FT7,FC5,C5
42,8,9,15,FT7,FC5,T7
43,8,14,15,FT7,C5,T7
44,8,14,16,FT7,C5,TP7
45,8,15,16,FT7,T7,TP7
46,9,14,15,FC5,C5,T7
47,10,11,12,FC3,FC1,C1
48,10,11,13,FC3,FC1,C3
49,10,12,13,FC3,C1,C3
50,11,12,13,FC1,C1,C3
51,11,38,47,FC1,Fz,FCz
52,12,13,18,C1,C3,CP3
53,12,13,19,C1,C3,CP1
54,12,18,19,C1,CP3,CP1
55,13,18,19,C3,CP3,CP1
56,14,15,16,C5,T7,TP7
57,14,15,17,C5,T7,CP5
58,14,16,17,C5,TP7,CP5
59,15,16,17,T7,TP7,CP5
60,15,16,23,T7,TP7,P7
61,15,16,24,T7,TP7,P9
62,15,17,23,T7,CP5,P7
63,15,23,24,T7,P7,P9
64,16,17,22,TP7,CP5,P5
65,16,17,23,TP7,CP5,P7
66,16,22,23,TP7,P5,P7
67,16,22,24,TP7,P5,P9
68,16,23,24,TP7,P7,P9
69,17,18,21,CP5,CP3,P3
70,17,18,22,CP5,CP3,P5
71,17,21,22,CP5,P3,P5
72,17,22,23,CP5,P5,P7
73,18,19,20,CP3,CP1,P1
74,18,19,21,CP3,CP1,P3
75,18,20,21,CP3,P1,P3
76,18,21,22,CP3,P3,P5
77,19,20,21,CP1,P1,P3
78,19,20,31,CP1,P1,Pz
79,19,20,32,CP1,P1,CPz
80,19,31,32,CP1,Pz,CPz
81,20,21,26,P1,P3,PO3
82,20,26,30,P1,PO3,POz
83,20,30,31,P1,POz,Pz
84,20,31,32,P1,Pz,CPz
85,21,22,25,P3,P5,PO7
86,21,22,26,P3,P5,PO3
87,21,25,26,P3,PO7,PO3
88,22,23,24,P5,P7,P9
89,22,23,25,P5,P7,PO7
90,22,23,26,P5,P7,PO3
91,22,24,25,P5,P9,PO7
92,22,24,27,P5,P9,O1
93,22,25,26,P5,PO7,PO3
94,22,25,27,P5,PO7,O1
